 === Phase E: Three-Layer Hierarchy Emergence (N=15) ===
    0 |  0/15/ 0 |     0.0000 |    0.00000
   30 |  3/ 4/ 8 |     0.0000 |    0.00000
   60 |  0/ 7/ 8 |     0.3516 |    0.26784
   90 |  1/ 3/11 |     0.4591 |    0.09637
  120 |  0/ 3/12 |     0.4693 |    0.08795
  150 |  0/ 3/12 |     0.4693 |    0.08795
  180 |  0/ 3/12 |     0.4693 |    0.08795
  210 |  0/ 3/12 |     0.4693 |    0.08795
  240 |  0/ 3/12 |     0.4693 |    0.08795
  270 |  0/ 3/12 |     0.4693 |    0.08795
  300 |  0/ 3/12 |     0.4693 |    0.08795
 [Final Hierarchy Status (Sorted by Reward)]
  A_02: Mode=Neutral   , Reward=  0.7026, Tension= 0.114
  A_03: Mode=Neutral   , Reward=  0.7005, Tension= 0.088
  A_01: Mode=Neutral   , Reward=  0.6973, Tension= 0.166
  A_05: Mode=Submissive, Reward=  0.6683, Tension= 2.828
  A_04: Mode=Submissive, Reward=  0.6615, Tension= 2.821
  A_06: Mode=Submissive, Reward=  0.6614, Tension= 2.855
  A_07: Mode=Submissive, Reward=  0.6492, Tension= 2.857
  A_12: Mode=Submissive, Reward=  0.3976, Tension= 2.857
  A_11: Mode=Submissive, Reward=  0.3408, Tension= 2.857
  A_15: Mode=Submissive, Reward=  0.3280, Tension= 2.857
  A_09: Mode=Submissive, Reward=  0.3098, Tension= 2.857
  A_13: Mode=Submissive, Reward=  0.3021, Tension= 2.857
  A_14: Mode=Submissive, Reward=  0.2874, Tension= 2.857
  A_08: Mode=Submissive, Reward=  0.2000, Tension= 2.857
  A_10: Mode=Submissive, Reward=  0.1333, Tension= 2.857
