
=== Phase E: Three-Layer Hierarchy Emergence (N=15) ===
Step  | Modes (A/N/S)   | Avg_Rew    | Power_Grad
0     | 0/15/0          |     0.0000 |    0.00000
30    | 3/4/8           |     0.0000 |    0.00000
60    | 1/3/11          |     0.1914 |    0.35286
90    | 8/3/4           |     0.1958 |    0.34060
120   | 8/3/4           |     0.1958 |    0.34060
150   | 7/3/5           |     0.2107 |    0.30355
180   | 7/3/5           |     0.2152 |    0.29536
210   | 7/3/5           |     0.2152 |    0.29536
240   | 7/3/5           |     0.2152 |    0.29536
270   | 7/3/5           |     0.2196 |    0.29003
300   | 7/4/4           |     0.2196 |    0.29003

[Final Multi-Layer Status]
A_02: Mode=Neutral   , Reward=  0.6920, Tension=0.082
A_01: Mode=Neutral   , Reward=  0.6905, Tension=0.106
A_00: Mode=Neutral   , Reward=  0.6871, Tension=0.168
A_08: Mode=Submissive, Reward=  0.2667, Tension=2.000
A_03: Mode=Neutral   , Reward=  0.2238, Tension=2.000
A_04: Mode=Neutral   , Reward=  0.2145, Tension=1.919
A_05: Mode=Submissive, Reward=  0.2088, Tension=2.000
A_06: Mode=Submissive, Reward=  0.1776, Tension=2.000
A_12: Mode=Aggressive, Reward=  0.0667, Tension=2.000
A_13: Mode=Aggressive, Reward=  0.0667, Tension=2.000
A_07: Mode=Aggressive, Reward=  0.0000, Tension=2.000
A_09: Mode=Aggressive, Reward=  0.0000, Tension=2.000
A_10: Mode=Aggressive, Reward=  0.0000, Tension=2.000
A_11: Mode=Aggressive, Reward=  0.0000, Tension=2.000
A_14: Mode=Aggressive, Reward=  0.0000, Tension=2.000
