
--- Case: N=4, DIM=4 ---
Step  | Modes (A/N/S)   | Avg_Rew    | Avg_Ten   
0     | 0/4/0           |     0.0000 |     0.0000
40    | 0/1/3           |     0.2911 |     1.5918
80    | 0/1/3           |     0.2911 |     1.8315
120   | 0/1/3           |     0.3650 |     1.6866
160   | 0/1/3           |     0.3650 |     1.5767
200   | 0/1/3           |     0.3650 |     1.5316

--- Case: N=8, DIM=8 ---
Step  | Modes (A/N/S)   | Avg_Rew    | Avg_Ten   
0     | 0/8/0           |     0.0000 |     0.0000
40    | 2/1/5           |     0.0000 |     1.4993
80    | 0/2/6           |     0.3118 |     1.8805
120   | 0/2/6           |     0.4799 |     1.8503
160   | 0/2/6           |     0.4799 |     1.6574
200   | 0/2/6           |     0.4799 |     1.5679

--- Case: N=16, DIM=16 ---
Step  | Modes (A/N/S)   | Avg_Rew    | Avg_Ten   
0     | 0/16/0          |     0.0000 |     0.0000
40    | 3/4/9           |     0.0000 |     1.6377
80    | 8/0/8           |     0.3654 |     1.4509
120   | 0/4/12          |     0.4972 |     1.9999
160   | 0/3/13          |     0.4972 |     1.8903
200   | 0/3/13          |     0.4972 |     1.7397
